"query","variants","intent","cluster","market_scope","us_validation_status","source_files","source_locations","trends_signal","search_interest_by_source","increase_percent_by_source","source_type","serp_checked_at","serp_intent_notes","product_relevance","priority","target_url","status"
"capture full webpage as pdf","capture full webpage as pdf","Capture the complete rendered length of a webpage as PDF","PDF-FULL-CAPTURE","worldwide_english","pending","","","","","","curated_seed","2026-08-02","Task intent: capture the complete scrolling page rather than only the visible viewport.","direct","high","/en/chrome-extension/how-to-use","target"
"convert excel to pdf with google sheets","convert excel to pdf with google sheets","Convert an Excel workbook to PDF through Google Sheets","OFFICE-EXCEL-GSHEETS","worldwide_english","pending","","","","","","curated_seed","","Curated workflow seed: open or import an authorized Excel file in Google Sheets and export or capture the reviewed browser result.","indirect","medium","","research"
"convert long webpage to pdf","convert long webpage to pdf","Convert a long webpage with readable page boundaries","PDF-LONG-PAGE","worldwide_english","pending","","","","","","curated_seed","2026-08-02","Troubleshooting intent: avoid clipped content, awkward pagination and incomplete lazy-loaded material on long pages.","direct","high","/en/chrome-extension/how-to-use","target"
"convert powerpoint to pdf with google slides","convert powerpoint to pdf with google slides","Convert a PowerPoint presentation to PDF through Google Slides","OFFICE-PPT-GSLIDES","worldwide_english","pending","","","","","","curated_seed","","Curated workflow seed: open an authorized PowerPoint file in Google Slides and export or capture the reviewed browser result.","indirect","medium","","research"
"convert word to pdf with google docs","convert word to pdf with google docs","Convert a Word document to PDF through Google Docs","OFFICE-WORD-GDOCS","worldwide_english","pending","","","","","","curated_seed","","Curated workflow seed: open or import an authorized Word file in Google Docs, then use native PDF export or active-tab capture as appropriate.","indirect","medium","","research"
"export deepseek chat to pdf","export deepseek chat to pdf","Research DeepSeek conversation export demand before claiming product support","CHAT-DEEPSEEK","us_first","pending","","","","","","curated_seed","","Research only until the live DeepSeek adapter is verified; do not publish a support claim.","indirect","low","","research"
"export grok chat to pdf","export grok chat to pdf","Export the current supported Grok conversation from its open Chrome tab","CHAT-GROK","us_first","pending","","","","","","curated_seed","","Product intent is limited to the current supported Grok conversation in the active Chrome tab; US demand is pending validation.","direct","medium","/en","target"
"export microsoft copilot chat to pdf","export microsoft copilot chat to pdf","Export the current supported Microsoft Copilot conversation from its open Chrome tab","CHAT-COPILOT","us_first","pending","","","","","","curated_seed","","Product intent is limited to the current supported Copilot conversation in the active Chrome tab; US demand is pending validation.","direct","medium","/en","target"
"export perplexity chat to pdf","export perplexity chat to pdf","Export the current supported Perplexity conversation from its open Chrome tab","CHAT-PERPLEXITY","us_first","pending","","","","","","curated_seed","","Product intent is limited to the current supported Perplexity conversation in the active Chrome tab; US demand is pending validation.","direct","medium","/en","target"
"multi page website to pdf","multi page website to pdf","Convert a bounded multi-page website to separate PDFs","PDF-WEBSITE","worldwide_english","pending","","","","","","curated_seed","2026-08-02","Multi-page conversion intent: discover a bounded website section and convert its pages, with clear output-file boundaries.","indirect","high","","research"
"open html file in chrome and save as pdf","open html file in chrome and save as pdf","Open a local HTML file in Chrome and save the rendered page as PDF","PDF-HTML","worldwide_english","pending","","","","","","curated_seed","","Curated browser workflow: open the HTML file as a rendered page, verify its local and remote assets, then capture it with the extension.","direct","high","/en/chrome-extension/how-to-use","target"
"save webpage behind login as pdf","save webpage behind login as pdf","Save an authorized active browser tab as PDF","PDF-AUTHENTICATED","worldwide_english","pending","","","","","","curated_seed","2026-08-02","How-to intent: save content already visible in an authenticated browser tab that a public URL fetch cannot access.","direct","high","/en/chrome-extension/how-to-use","target"
"url to pdf vs print to pdf","url to pdf vs print to pdf","Compare URL conversion with browser Print to PDF","PDF-URL-COMPARISON","worldwide_english","pending","","","","","","curated_seed","2026-08-02","Comparison intent: understand what a public URL converter captures differently from browser Print to PDF.","direct","high","","research"
"visual vs editable webpage conversion","visual vs editable webpage conversion","Choose visual fidelity or editable webpage content","MODE-COMPARISON","worldwide_english","pending","","","","","","curated_seed","2026-08-02","Decision intent: choose visual fidelity or editable text, links and images for the downstream job.","direct","medium","/en","target"
"webpage to pdf with clickable links","webpage to pdf with clickable links","Preserve supported clickable links in a webpage PDF","PDF-LINKS","worldwide_english","pending","","","","","","curated_seed","2026-08-02","Feature and troubleshooting intent: retain supported clickable links instead of flattening every element into pixels.","direct","high","/en/chrome-extension/how-to-use","target"
"website types to pdf or powerpoint","website types to pdf or powerpoint","Choose suitable website types and output formats","USE-CASE-HUB","worldwide_english","pending","","","","","","curated_seed","2026-08-02","Exploratory fit intent: decide which website and web-app types are suitable for PDF or PowerPoint export.","direct","medium","","research"
"what is pdf","what is pdf","Explain what PDF means, how the format works, and when to use it","PDF-DEFINITION","worldwide_english","pending","","","","","","curated_seed","2026-08-12","User-locked cornerstone topic: definition and reader intent, not a converter landing-page promise.","indirect","high","","research"
