"query","variants","reason","source_files","source_locations","trends_signal"
"ada parse","ada parse","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#44","rising"
"add page to pdf","add page to pdf","Existing PDF page-editing intent is outside the product","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv#11","top"
"adobe","adobe","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv#31 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv#17 | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv#25 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#11 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv#34","rising | top"
"adobe acrobat","adobe acrobat","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814.csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814.csv#41 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv#44","rising | top"
"adobe acrobat export pdf","adobe acrobat export pdf","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#31","top"
"adobe export pdf","adobe export pdf","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#10","top"
"adobe news","adobe news","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv#29","rising"
"adobe pdf","adobe pdf","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv#24 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv#33","rising | top"
"agile methodology","agile methodology","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#15 | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#26 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#19","rising"
"ai","ai","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv#36 | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#46 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#27 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#50 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv#2 | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#4 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#9 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#4 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#4","rising | top"
