"query","search interest","increase percent"
"import export",100,"70 %"
"import",99,"70 %"
"what is export",38,"90 %"
"export and import",21,"30 %"
"import and export",20,"30 %"
"export controls",19,"850 %"
"export meaning",15,"80 %"
"github",12,"450 %"
"ai news",12,"1 900 %"
"export definition",12,"300 %"
"python",6,"40 %"
"chrome export bookmarks",5,"90 %"
"export bookmarks chrome",5,"90 %"
"export chrome bookmarks",5,"80 %"
"how to export bookmarks chrome",5,"350 %"
"capcut",5,"10 %"
"how to export chrome bookmarks",5,"300 %"
"ai news today",5,"4 900 %"
"import vs export",4,"200 %"
"figma",4,"-20 %"
"apple news",4,"1 900 %"
"nvidia news",3,"1 200 %"
"openai news",3,"1 450 %"
"google docs",3,"250 %"
"davinci resolve",3,"-20 %"
"export verification",2,"300 %"
"business news today",2,"3 550 %"
"what does export mean",2,"20 %"
"health news today",2,"Breakout"
"export pdf to word",2,"-7 %"
"auction export",2,"80 %"
"google ai news",2,"2 500 %"
"apple news today",1,"4 250 %"
"openai news today",1,"3 600 %"
"travel news today",1,"Breakout"
"nvidia news today",1,"3 150 %"
"bitcoin news",1,"1 150 %"
"ai updates",1,"1 650 %"
"new york times",1,"1 200 %"
"export pdf to excel",1,"-20 %"
"import export license",1,"20 %"
"technology news today",1,"3 650 %"
"google takeout",1,"150 %"
"export and import meaning",1,"10 %"
"markets news today",1,"3 200 %"
"dgft",1,"60 %"
"strava",1,"1 %"
"export development canada",1,"140 %"
"follower export tool",1,"-60 %"
"semiconductor news today",1,"Breakout"
