"Time","to pdf","to presentation","to pptx","export pdf","export pptx","export presentation","gpt","ai to"
"2025-08-03",31,1,0,0,0,0,83,22
"2025-08-10",40,2,0,1,0,0,77,32
"2025-08-17",42,2,0,1,0,0,81,29
"2025-08-24",37,1,0,1,0,0,85,24
"2025-08-31",38,1,0,1,0,0,88,25
"2025-09-07",40,2,0,1,0,0,91,25
"2025-09-14",40,1,0,1,0,0,91,25
"2025-09-21",40,1,0,1,0,0,91,30
"2025-09-28",38,1,0,1,0,0,89,28
"2025-10-05",38,1,0,1,0,0,92,25
"2025-10-12",35,1,0,1,0,0,97,25
"2025-10-19",32,1,0,1,0,0,97,25
"2025-10-26",33,1,0,1,0,0,91,24
"2025-11-02",36,1,0,1,0,0,100,24
"2025-11-09",36,1,0,1,0,0,93,24
"2025-11-16",40,1,0,1,0,0,96,25
"2025-11-23",48,1,0,1,0,0,82,27
"2025-11-30",50,2,0,1,0,0,86,32
"2025-12-07",42,1,0,1,0,0,84,29
"2025-12-14",40,1,0,1,0,0,80,26
"2025-12-21",29,1,0,0,0,0,67,20
"2025-12-28",27,1,0,0,0,0,61,20
"2026-01-04",33,1,0,1,0,0,76,22
"2026-01-11",35,1,0,1,0,0,83,22
"2026-01-18",42,1,0,1,0,0,85,23
"2026-01-25",42,1,0,1,0,0,84,25
"2026-02-01",44,1,0,1,0,0,83,25
"2026-02-08",44,1,0,1,0,0,82,23
"2026-02-15",53,2,0,1,0,0,72,26
"2026-02-22",51,2,0,1,0,0,81,29
"2026-03-01",42,2,0,1,0,0,89,32
"2026-03-08",46,1,0,1,0,0,89,28
"2026-03-15",44,1,0,1,0,0,83,28
"2026-03-22",51,2,0,1,0,0,83,29
"2026-03-29",61,2,0,1,0,0,84,30
"2026-04-05",66,2,0,1,0,0,81,28
"2026-04-12",58,2,0,1,0,0,85,29
"2026-04-19",52,2,0,1,0,0,95,27
"2026-04-26",51,2,0,1,0,0,87,35
"2026-05-03",57,2,0,1,0,0,87,41
"2026-05-10",61,2,0,1,0,0,86,40
"2026-05-17",55,2,0,1,0,0,91,30
"2026-05-24",59,2,0,1,0,0,88,33
"2026-05-31",67,2,0,1,0,0,89,34
"2026-06-07",62,2,0,1,0,0,89,31
"2026-06-14",61,2,0,1,0,0,88,34
"2026-06-21",58,2,0,1,0,0,89,35
"2026-06-28",54,1,0,1,0,0,83,27
"2026-07-05",50,2,0,1,0,0,78,28
"2026-07-12",44,1,0,1,0,0,81,19
"2026-07-19",37,2,0,0,0,0,94,16
"2026-07-26",40,1,0,0,0,0,86,16
