"query","cluster","product_relevance","store_location","status","coverage_or_reason","us_validation_status","us_validation_note","review_status"
"ai chat exporter","CHAT-AI-HUB","direct","long_description","covered semantically","AI and messenger chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"ai exporter","CHAT-AI-HUB","direct","long_description","covered semantically","AI and messenger chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"capture full webpage as pdf","PDF-FULL-CAPTURE","direct","long_description","covered semantically","full-page PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"change html to pdf","PDF-HTML","direct","long_description","covered semantically","convert an HTML webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"chat gpt export chat","CHAT-AI-CHATGPT","direct","long_description","covered semantically","ChatGPT to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"chat gpt to pdf","CHAT-AI-CHATGPT","direct","long_description","covered semantically","ChatGPT to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"chat to pdf","CHAT-MSG-BROWSER","direct","long_description","covered semantically","AI and messenger chat to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"chatgpt export","CHAT-AI-CHATGPT","direct","long_description","covered semantically","ChatGPT to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"chatgpt export chat","CHAT-AI-CHATGPT","direct","long_description","covered semantically","ChatGPT to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"chatgpt exporter","CHAT-AI-CHATGPT","direct","long_description","covered semantically","ChatGPT to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"chrome html to pdf","PDF-HTML","direct","long_description","covered semantically","convert an HTML webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"convert a webpage to pdf","PDF-WEBPAGE","direct","long_description","covered semantically","save a webpage to PDF","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
"convert html file to pdf","PDF-HTML","direct","not_applicable","excluded with reason","Excluded from Store copy: the listing promises an HTML webpage already open in Chrome, not raw code or file upload.","pending","US demand remains pending; Worldwide Trends is not treated as US search volume.","pass"
