"Time","export ai chat","export chat","export gpt","export ai","ai chat","chatgpt","gpt","ai to pdf"
"2025-08-03",0,0,0,0,2,90,48,1
"2025-08-10",0,0,0,1,2,83,44,2
"2025-08-17",0,0,0,0,2,93,47,2
"2025-08-24",0,0,0,0,2,93,49,1
"2025-08-31",0,0,0,0,2,91,51,1
"2025-09-07",0,0,0,0,2,98,53,1
"2025-09-14",0,0,0,0,2,95,52,1
"2025-09-21",0,0,0,0,2,98,53,1
"2025-09-28",0,0,0,0,2,93,51,1
"2025-10-05",0,0,0,0,2,97,54,1
"2025-10-12",0,0,0,0,2,95,56,1
"2025-10-19",0,0,0,0,2,96,56,1
"2025-10-26",0,0,0,0,2,91,53,1
"2025-11-02",0,0,0,0,2,97,58,1
"2025-11-09",0,0,0,0,2,100,54,1
"2025-11-16",0,0,0,0,2,98,56,1
"2025-11-23",0,0,0,0,2,85,47,2
"2025-11-30",0,0,0,0,2,87,50,2
"2025-12-07",0,0,0,0,2,87,49,2
"2025-12-14",0,0,0,0,2,80,46,2
"2025-12-21",0,0,0,0,1,66,38,1
"2025-12-28",0,0,0,0,1,66,35,1
"2026-01-04",0,0,0,0,2,77,44,1
"2026-01-11",0,0,0,0,2,83,48,1
"2026-01-18",0,0,0,0,2,81,49,1
"2026-01-25",0,0,0,0,2,82,49,2
"2026-02-01",0,0,0,0,2,85,48,1
"2026-02-08",0,0,0,0,2,84,47,1
"2026-02-15",0,0,0,0,2,76,42,2
"2026-02-22",0,0,0,0,2,83,47,2
"2026-03-01",0,0,0,0,2,86,52,2
"2026-03-08",0,0,0,0,2,85,51,2
"2026-03-15",0,0,0,0,2,81,48,2
"2026-03-22",0,0,0,0,2,86,48,2
"2026-03-29",0,0,0,0,2,80,49,2
"2026-04-05",0,0,0,0,2,80,47,2
"2026-04-12",0,0,0,0,2,80,49,2
"2026-04-19",0,0,0,0,2,85,55,2
"2026-04-26",0,0,0,0,2,80,50,2
"2026-05-03",0,0,0,0,2,84,50,2
"2026-05-10",0,0,0,1,2,84,50,2
"2026-05-17",0,0,0,1,2,85,53,2
"2026-05-24",0,0,0,1,2,81,51,2
"2026-05-31",0,0,0,1,2,86,52,2
"2026-06-07",0,0,0,1,2,82,52,2
"2026-06-14",0,0,0,1,2,80,51,2
"2026-06-21",0,0,0,1,2,79,51,2
"2026-06-28",0,0,0,1,2,73,48,2
"2026-07-05",0,0,0,1,2,74,45,1
"2026-07-12",0,0,0,0,2,71,47,1
"2026-07-19",0,0,0,0,2,80,54,1
"2026-07-26",0,0,0,0,2,78,50,1
