"Time","to pdf","to presentation","to pptx","export ai","ai chat","chatgpt","gpt","ai to"
"2025-08-03",18,1,0,0,2,90,48,13
"2025-08-10",23,1,0,1,2,83,44,18
"2025-08-17",24,1,0,0,2,93,47,17
"2025-08-24",22,1,0,0,2,93,49,14
"2025-08-31",22,1,0,0,2,91,51,15
"2025-09-07",23,1,0,0,2,98,53,15
"2025-09-14",23,1,0,0,2,95,52,15
"2025-09-21",23,1,0,0,2,98,53,17
"2025-09-28",22,1,0,0,2,93,51,16
"2025-10-05",22,1,0,0,2,97,54,14
"2025-10-12",20,1,0,0,2,95,56,14
"2025-10-19",18,1,0,0,2,96,56,14
"2025-10-26",19,1,0,0,2,91,53,14
"2025-11-02",21,1,0,0,2,97,58,14
"2025-11-09",21,1,0,0,2,100,54,14
"2025-11-16",23,1,0,0,2,98,56,15
"2025-11-23",28,1,0,0,2,85,47,16
"2025-11-30",29,1,0,0,2,87,50,19
"2025-12-07",25,1,0,0,2,87,49,17
"2025-12-14",23,1,0,0,2,80,46,15
"2025-12-21",17,0,0,0,1,66,38,12
"2025-12-28",16,0,0,0,1,66,35,12
"2026-01-04",19,1,0,0,2,77,44,13
"2026-01-11",20,1,0,0,2,83,48,13
"2026-01-18",24,1,0,0,2,81,49,13
"2026-01-25",25,1,0,0,2,82,49,14
"2026-02-01",26,1,0,0,2,85,48,14
"2026-02-08",25,1,0,0,2,84,47,13
"2026-02-15",31,1,0,0,2,76,42,15
"2026-02-22",29,1,0,0,2,83,47,17
"2026-03-01",25,1,0,0,2,86,52,18
"2026-03-08",26,1,0,0,2,85,51,16
"2026-03-15",25,1,0,0,2,81,48,16
"2026-03-22",29,1,0,0,2,86,48,17
"2026-03-29",35,1,0,0,2,80,49,17
"2026-04-05",38,1,0,0,2,80,47,16
"2026-04-12",33,1,0,0,2,80,49,17
"2026-04-19",30,1,0,0,2,85,55,16
"2026-04-26",30,1,0,0,2,80,50,20
"2026-05-03",33,1,0,0,2,84,50,23
"2026-05-10",35,1,0,1,2,84,50,23
"2026-05-17",32,1,0,1,2,85,53,17
"2026-05-24",34,1,0,1,2,81,51,19
"2026-05-31",39,1,0,1,2,86,52,20
"2026-06-07",36,1,0,1,2,82,52,18
"2026-06-14",35,1,0,1,2,80,51,20
"2026-06-21",34,1,0,1,2,79,51,20
"2026-06-28",31,1,0,1,2,73,48,16
"2026-07-05",29,1,0,1,2,74,45,16
"2026-07-12",25,1,0,0,2,71,47,11
"2026-07-19",21,1,0,0,2,80,54,9
"2026-07-26",23,1,0,0,2,78,50,9
